file_url,composer,duration_sec,tempo_mean,tempo_std,pitch_range,pitch_mean,pitch_variance,note_duration_mean,note_duration_variance,note_density,polyphony,rhythmic_entropy,pitch_class_entropy
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-aragon_fantasia_op47_part_6.mid,albeniz-aragon_fantasia_op47_part_6.mid,259.9097,63.2500359364937,21.738537787226765,73.0,70.44346733668341,129.59793471124468,0.21744943459484928,0.036471350590018325,12.25040850726233,2.515,2.3143563970688836,3.311625751545169
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-castilla_seguidillas_op47_part_7.mid,albeniz-castilla_seguidillas_op47_part_7.mid,209.3323161666667,104.83339742230027,11.090758755583664,81.0,68.4301852688658,139.07748017353808,0.19815925293247907,0.022897746423492626,10.571707419689794,1.845,1.7183113779445236,3.428108932673375
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-cataluna_courranda_no2_from_suite_espanola.mid,albeniz-cataluna_courranda_no2_from_suite_espanola.mid,207.30427402499993,130.5094503632818,27.920121574516504,60.0,62.755009107468126,124.18588110192069,0.35710744853521537,0.20595668203470166,10.59312457655925,3.745,1.960237087719269,3.1936087355940708
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-cataluna_courranda_no2_from_suite_espanola_2.mid,albeniz-cataluna_courranda_no2_from_suite_espanola_2.mid,271.23404812499996,113.54674664512412,7.580009313397373,65.0,63.91426071741032,130.83079400726703,0.3647374879028142,0.11094400924497937,8.428145418330674,3.01,1.6747100537585777,3.1438993043473804
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165.mid,albeniz-espana_op_165.mid,95.1923935833332,117.7560709141365,15.413741331534533,64.0,68.06940063091483,146.1655305555832,0.31698516206624555,0.10379255556932211,6.660196010776686,2.05,2.6517901848372425,2.9649638368916844
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no1.mid,albeniz-espana_op_165_no1.mid,95.1923935833332,117.7560709141365,15.413741331534533,64.0,68.06940063091483,146.1655305555832,0.31698516206624555,0.10379255556932211,6.660196010776686,2.05,2.6517901848372425,2.9649638368916844
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no2.mid,albeniz-espana_op_165_no2.mid,127.38043959166656,60.554165244391974,5.293874277320544,53.0,62.60735294117647,95.70318122837371,0.6604704040563721,0.2796361053734437,5.33833924721741,3.5,2.516212507502331,3.3172234622163885
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no3.mid,albeniz-espana_op_165_no3.mid,172.76479831666663,95.93243304446518,26.8554080845882,66.0,73.26604729729729,89.23411748424947,0.24602386587837877,0.1545117111087868,6.853247950602791,1.69,2.5092631011816824,3.020195871302786
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no4.mid,albeniz-espana_op_165_no4.mid,190.8648051041667,110.90918739741478,4.390795112410714,58.0,67.326895565093,98.57196618508763,0.4152803776451478,0.21447274708265607,7.324556244075618,3.06,1.7894745419905915,3.2767200815745543
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no5.mid,albeniz-espana_op_165_no5.mid,120.66886816666678,118.57296430609564,3.6225449241913825,72.0,65.31754574811626,96.26407320162077,0.4758883081718697,0.1205626252268375,7.698754567887994,3.63,1.7735105975371528,3.143726381793441
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-espana_op_165_no6.mid,albeniz-espana_op_165_no6.mid,152.44200900000018,111.5873596524415,3.214105538747728,60.0,68.42511752854264,74.70376131929652,0.3453595020707414,0.05719480402729716,9.767648758814234,3.345,2.034508612587694,3.2399942477860635
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-mallorca_barcarola.mid,albeniz-mallorca_barcarola.mid,289.9560892833333,47.12502271668376,25.017207441201293,43.0,61.264462809917354,74.65615151189907,0.461634846039945,0.226195573327706,5.84226392412367,2.665,2.4633902979316518,3.2911725733726933
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-piezas_caracteristicas_gavotte.mid,albeniz-piezas_caracteristicas_gavotte.mid,198.49166666666667,120.0,0.0,43.0,63.875894988066825,70.45237837560734,0.38725139220365984,0.05298965411832141,6.332759561694445,2.4,1.3774745008029892,3.2904646233400308
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-suite_espanola_no5_asturias.mid,albeniz-suite_espanola_no5_asturias.mid,332.13825237500004,127.1829753047191,4.691223473176331,68.0,64.21567877629063,105.04411364060118,0.1780901337061819,0.18184581711829692,7.873227432555824,1.295,2.8940080785543207,2.5150633558836097
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-titulo_desconocido.mid,albeniz-titulo_desconocido.mid,380.07962566666686,126.2222413719289,15.972325847584566,68.0,68.24039320822163,127.21328647035006,0.28428001628686367,0.06290111845951182,8.83235978280014,2.515,2.0794964756891803,3.243450806131513
https://huggingface.co/datasets/drengskapur/midi-classical-music/resolve/main/data/albeniz-titulo_desconocido_2.mid,albeniz-titulo_desconocido_2.mid,242.14261500000003,63.000063000062994,0.0,43.0,73.72633895818048,60.75342951680214,0.555030946441673,0.2400081588909696,5.6289141834864544,3.115,1.9459593214169397,3.1390266025179625
